,Beta,Book Value Per Share,Cash Flow,Current Ratio,D/E Ratio,Date,Difference,Diluted EPS,EBITDA,Earnings Growth,Enterprise Value,Enterprise Value/EBITDA,Enterprise Value/Revenue,Forward P/E,Gross Profit,Held by Insiders,Held by Institutions,Market Cap,Net Income Avl to Common ,Operating Margin,PEG Ratio,Price,Price/Book,Price/Sales,Profit Margin,Return on Assets,Return on Equity,Revenue,Revenue Growth,Revenue Per Share,SP500,Shares Short (as of,Short % of Float,Short Ratio,Status,Ticker,Total Cash,Total Cash Per Share,Total Debt,Trailing P/E,Unix,sp500_p_change,stock_p_change
105,0.34,31.37,3800000000.0,0.67,126.19,2013-04-25 05:13:54,-7.426088356372432,2.60,8.87,93.20,43520000000.0,8.87,2.91,15.33,8550000000.000001,0.08,62.80,43520000000.0,1260000000.0,20.01,4.29,50.0,1.61,1.65,8.42,3.51,8.44,2.91,4.90,30.84,1585.160034,437000.0,0.90,2.00,underperform,aep,36200000.0,0.75,19230000000.0,19.59,1366881234.0,44.14608835637243,36.72
106,1.05,32.58,1770000000.0,0.75,43.00,2012-12-19 21:05:07,-93.10265243752822,5.23,4.73,1.80,17059999999.999998,4.73,0.48,8.32,10250000000.0,0.30,90.80,17059999999.999998,1840000000.0,8.93,0.86,46.0,1.43,0.44,5.22,5.01,17.18,0.48,5.20,101.78,1435.810059,1678000.0,5.20,3.80,underperform,aet,3180000000.0,9.51,4690000000.0,8.80,1355969107.0,24.624391567963006,-68.47826086956522
107,1.09,32.77,1350000000.0,0.99,63.37,2013-06-05 05:12:09,-71.00405998174598,4.84,6.00,4.10,21220000000.0,6.00,0.57,9.47,10860000000.0,0.37,97.40,21220000000.0,1640000000.0,8.31,0.98,59.0,1.82,0.52,4.40,4.72,15.57,0.57,7.00,111.29,1608.900024,480000.0,1.60,1.50,underperform,aet,5250000000.0,16.12,6800000000.0,12.26,1370423529.0,39.648127778356155,-31.35593220338983
108,2.53,27.25,9610000000.0,0.42,33.03,2011-12-30 09:10:57,0.1409423403826615,3.94,7.17,7.80,22440000000.0,7.17,1.04,6.50,4930000000.0,3.03,65.30,22440000000.0,1860000000.0,14.16,0.62,43.0,1.59,0.94,8.62,1.79,15.56,1.04,11.90,46.04,1257.599976,916000.0,2.00,2.50,outperform,afl,1960000000.0,4.20,4200000000.0,10.98,1325254257.0,22.114871613105713,22.255813953488374
109,1.76,29.18,12230000000.0,0.43,30.49,2012-07-17 03:10:14,-10.158622690631137,5.03,5.88,101.80,22310000000.0,5.88,0.96,6.29,6700000000.0,3.05,64.30,22310000000.0,2360000000.0,16.08,0.60,43.0,1.49,0.88,10.17,2.15,19.14,0.96,20.30,49.82,1363.670044,695000.0,1.50,2.10,underperform,afl,2240000000.0,4.79,4160000000.0,8.59,1342509014.0,32.41443664411951,22.255813953488374
110,0.144,7.186,36500000.0,3.024,0.637,2004-08-10 02:33:38,-13.967117056069297,1.171,25.85,169.80,9510000000.0,25.85,5.00,21.33,1440000000.0,1.98,89.14,9310000000.0,15780000.000000002,15.94,1.22,69.32,9.91,5.03,8.33,8.48,18.98,5.00,24.30,14.349,1079.040039,263000.0,2.00,4.17,underperform,agn,65060000.0,4.85,60279999.99999999,59.20,1092119618.0,3.3929681812856654,-10.574148874783631
111,0.165,7.186,42480000.0,3.024,0.637,2004-11-02 14:09:49,-14.053723472224437,1.298,26.32,169.80,9690000000.0,26.32,4.92,22.38,1440000000.0,1.98,89.42,9730000000.0,17380000.0,15.94,1.43,72.5,10.09,5.12,8.83,9.21,20.64,4.92,24.30,14.903,1130.560059,314000.0,2.38,2.86,underperform,agn,65060000.0,4.85,60279999.99999999,55.86,1099418989.0,8.329585541189948,-5.72413793103449
112,0.275,8.501,51860000.0,2.994,0.522,2005-03-10 01:40:57,-17.433143585443986,2.84,18.22,169.80,9610000000.0,18.22,4.70,20.73,1440000000.0,1.97,90.41,9910000000.0,37710000.0,25.78,1.34,75.47,8.89,4.85,18.48,18.90,40.70,4.70,24.30,15.383,1209.25,320000.0,2.49,3.038,underperform,agn,89480000.0,6.82,58320000.00000001,26.60,1110436857.0,15.869608405902436,-1.5635351795415489
113,0.65,18.02,1340000000.0,4.42,28.52,2012-08-22 22:58:41,-25.61623211559768,3.41,14.22,19.80,24940000000.0,14.22,4.44,17.91,4670000000.0,0.19,91.90,24940000000.0,1050000000.0,28.29,1.53,85.0,4.80,4.64,18.79,11.99,20.24,4.44,5.20,18.49,1413.48999,330000.0,1.10,1.40,underperform,agn,2670000000.0,8.88,1560000000.0,25.05,1345690721.0,35.43976152736238,9.8235294117647
114,0.63,19.44,1600000000.0,4.07,26.63,2013-04-22 02:49:52,-17.549669557976948,3.58,17.86,15.90,32500000000.0,17.86,5.60,20.91,5030000000.0,0.16,88.20,32500000000.0,1100000000.0,28.45,1.78,113.0,5.78,5.76,18.93,11.67,19.70,5.60,7.60,19.26,1562.5,478000.0,1.60,3.80,underperform,agn,2960000000.0,9.94,1560000000.0,31.77,1366613392.0,49.7178111508973,32.16814159292035
